127.0.0.1, 2012-03-25 15:49:17, GET, /, HTTP/1.1, 303, 0.003306
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.395429
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002527
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001963
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.002299
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000469
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000493
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000531
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000669
127.0.0.1, 2012-03-25 15:49:18, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001504
127.0.0.1, 2012-03-25 15:49:19, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000479
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/default/site, HTTP/1.1, 303, 0.033683
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/default/index, HTTP/1.1, 200, 0.041261
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.001383
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000452
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000536
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002462
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.004820
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.006438
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001585
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000593
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000534
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000928
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002391
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.001768
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000827
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001633
127.0.0.1, 2012-03-25 16:10:01, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.003017
127.0.0.1, 2012-03-25 16:10:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000415
127.0.0.1, 2012-03-25 16:10:25, POST, /admin/default/index, HTTP/1.1, 303, 0.038223
127.0.0.1, 2012-03-25 16:10:25, GET, /admin/default/site, HTTP/1.1, 200, 0.043559
127.0.0.1, 2012-03-25 16:10:25, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001029
